Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52881126,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""178955067X""","=""9781789550672""",5,3.83,Legend Press,Paperback,82,2021,1886,2024/08/25,2023/04/03,literature,literature (#102),read,,,,1,0
12833311,Pride and Prejudice,Jane Austen,"Austen, Jane",,"=""1908533056""","=""9781908533050""",0,4.29,"Atlantic Publishing, Croxley Green",Paperback,408,2012,1813,,2024/08/13,"currently-reading, literature","currently-reading (#1), literature (#101)",currently-reading,,,,1,0
375815,Gulliver's Travels,Jonathan Swift,"Swift, Jonathan",,"=""0140620842""","=""9780140620849""",0,3.58,Penguin Books,Paperback,329,1994,1726,,2024/01/15,to-read,to-read (#327),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.36,Vintage,Paperback,512,2015,2011,,2020/03/07,"non-fiction, to-read","non-fiction (#7), to-read (#310)",to-read,,,,0,1
6184,Wuthering Heights,Emily Brontë,"Brontë, Emily",,"=""0140620125""","=""9780140620122""",5,3.89,Penguin Books,Paperback,279,2007,1847,2022/12/12,2022/12/04,,,read,,,,1,0
102872,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel",,"=""014062080X""","=""9780140620801""",2,3.43,Penguin Books,Paperback,240,1994,1850,2023/03/25,2021/09/08,literature,literature (#63),read,,,,1,0
53489618,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""""","=""""",0,3.87,Vivi Books,Hardcover,227,2018,1818,,2023/01/31,"to-read, fantasy-sci-fi","to-read (#267), fantasy-sci-fi (#124)",to-read,,,,0,0
48650854,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",,"=""1853260452""","=""9781853260452""",3,3.68,Wordsworth Editions,Paperback,272,1992,1719,2023/03/12,2023/02/13,,,read,,,,1,0
25870,Lord of the Flies,William Golding,"Golding, William",,"=""""","=""""",3,3.69,Faber & Faber,Paperback,225,1973,1954,2020/12/09,2020/12/09,literature,literature (#44),read,,,,1,0
3218705,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0749320524""","=""9780749320522""",4,3.89,Mandarin Paperbacks,Mass Market Paperback,121,1995,1937,2021/10/31,2020/03/19,literature,literature (#12),read,,,,1,0
333002,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""0140620834""","=""9780140620832""",3,3.85,Penguin Books,Paperback,224,1994,1882,2023/01/31,2021/09/08,literature,literature (#68),read,,,,1,0
838638,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",David Wyatt,"=""0006754023""","=""9780006754022""",3,4.29,HarperCollins Children's Books,Paperback,365,1998,1937,2022/11/27,2022/11/13,,,read,,,,1,0
20555443,"The Martian (The Martian, #1)",Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.42,Del Rey,Paperback,369,2014,2011,2022/11/13,2020/04/02,fantasy-sci-fi,fantasy-sci-fi (#10),read,,,,1,0
51415668,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",3,4.28,HarperCollins Publishers,Paperback,317,2003,1939,2022/06/19,2022/06/18,literature,literature (#84),read,,,,1,0
16032905,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,3.96,HarperVoyager,Paperback,227,2008,1953,2021/09/06,2021/08/27,literature,literature (#87),read,,,,1,0
25772375,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""0340960191""","=""9780340960196""",4,4.28,Hodder,Paperback,577,2015,1965,2022/06/10,2022/06/01,fantasy-sci-fi,fantasy-sci-fi (#98),read,,,,1,0
17118898,Nineteen Eighty-Four,George Orwell,"Orwell, George",,"=""0141393041""","=""9780141393049""",5,4.19,Penguin Books,Paperback,355,2013,1949,2020/12/14,2020/01/04,literature,literature (#24),read,,,,1,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",0,4.01,Viking,Hardcover,479,2014,1939,,2020/08/31,"to-read, literature","to-read (#77), literature (#27)",to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""""","=""""",0,4.09,Vintage,Paperback,964,2012,1878,,2020/01/08,"to-read, literature","to-read (#17), literature (#19)",to-read,,,,0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk, William Hootkins, Rockwell Kent, Anton Lomaev","=""0142437247""","=""9780142437247""",0,3.55,Penguin Classics ,Paperback,720,2003,1851,,2020/02/05,"to-read, literature","to-read (#89), literature (#17)",to-read,,,,0,0
